	sort	permil	freq
223	чудотворцам	0.24580170684705235	1.0
224	десятиград	0.24580170684705235	1.0
225	вятки	0.4916034136941047	2.0
226	скорейшия	0.24580170684705235	1.0
227	неизгибаемо	0.24580170684705235	1.0
228	умиляюще	0.24580170684705235	1.0
229	божеетвенною	0.24580170684705235	1.0
230	отторгшемся	0.24580170684705235	1.0
231	улучили	0.24580170684705235	1.0
232	почтенное	0.24580170684705235	1.0
233	принесенными	0.24580170684705235	1.0
234	господьства	4.1786290163998885	16.999999999999996
235	немани	0.24580170684705235	1.0
236	имовит	0.24580170684705235	1.0
237	возвышаеши	0.24580170684705235	1.0
238	всеблаженыя	0.24580170684705235	1.0
239	каменистую	0.24580170684705235	1.0
240	переславскаго	0.24580170684705235	1.0
241	гражданским	0.737405120541157	3.0
242	сподобльшияся	0.4916034136941047	2.0
243	украсивший	0.737405120541157	3.0
244	помнящия	0.24580170684705235	1.0
245	заканчиваем	0.24580170684705235	1.0
246	угонзал	0.24580170684705235	1.0
247	благословния	0.24580170684705235	1.0
248	ангеево	0.4916034136941047	2.0
249	зднества	0.24580170684705235	1.0
250	родившие	0.24580170684705235	1.0
251	псковопечерских	0.24580170684705235	1.0
252	помрачихомся	0.24580170684705235	1.0
253	убегаем	0.24580170684705235	1.0
254	сращенную	0.24580170684705235	1.0
255	рождественского	0.24580170684705235	1.0
256	рукудевичу	0.24580170684705235	1.0
257	ветровъ	0.4916034136941047	2.0
258	арстратига	0.24580170684705235	1.0
259	связавшим	0.24580170684705235	1.0
260	исайе	0.9832068273882094	4.0
261	укрывахуся	0.24580170684705235	1.0
262	дароване	0.24580170684705235	1.0
263	ласкательствах	0.24580170684705235	1.0
264	доброчинства	0.24580170684705235	1.0
265	благоразсудством	0.24580170684705235	1.0
266	впали	0.24580170684705235	1.0
267	потопляемабогу	0.4916034136941047	2.0
268	мрови	4.424430723246941	17.999999999999993
269	братолюбцу	0.24580170684705235	1.0
270	гелмондевлафаиме	0.24580170684705235	1.0
271	путеводящая	0.737405120541157	3.0
272	агарянстей	0.737405120541157	3.0
273	фонарм	0.24580170684705235	1.0
274	обручивый	0.24580170684705235	1.0
275	шит	0.24580170684705235	1.0
276	плимене	0.24580170684705235	1.0
277	подружие	0.24580170684705235	1.0
278	кафизме	43.50690211192843	177.00000000000068
279	глае	0.24580170684705235	1.0
280	украша	0.24580170684705235	1.0
281	божественности	0.24580170684705235	1.0
282	темнота	0.4916034136941047	2.0
283	покланялася	0.24580170684705235	1.0
284	всеблагою	0.24580170684705235	1.0
285	приобрящещи	0.24580170684705235	1.0
286	сочине	0.24580170684705235	1.0
287	облистаний	0.24580170684705235	1.0
288	преждепочившими	0.24580170684705235	1.0
289	царственнии	3.441223895858732	13.999999999999998
290	кровожадным	0.24580170684705235	1.0
291	изъедый	0.24580170684705235	1.0
292	мотыками	0.24580170684705235	1.0
293	приидешиво	0.4916034136941047	2.0
294	прообразована	0.24580170684705235	1.0
295	касаемых	0.24580170684705235	1.0
296	изъобразивше	0.24580170684705235	1.0
297	нощьво	0.24580170684705235	1.0
298	сановника	0.9832068273882094	4.0
299	лучезарно	0.4916034136941047	2.0
300	изюбилну	0.24580170684705235	1.0
301	богобоязливый	0.4916034136941047	2.0
302	прославляющия	1.7206119479293664	7.0
303	погий	0.24580170684705235	1.0
304	входящия	1.9664136547764188	8.0
305	невежы	0.24580170684705235	1.0
306	отял	2.212215361623471	9.0
307	исайина	0.4916034136941047	2.0
308	запечатлени	0.24580170684705235	1.0
309	зажитниче	0.24580170684705235	1.0
310	полежа	0.24580170684705235	1.0
311	оуморен	0.24580170684705235	1.0
312	фараонитския	0.24580170684705235	1.0
313	воспеваютблагословен	0.24580170684705235	1.0
314	сыи	0.4916034136941047	2.0
315	истязующаго	0.24580170684705235	1.0
316	антифоном	0.24580170684705235	1.0
317	зземли	0.24580170684705235	1.0
318	первенствующей	0.24580170684705235	1.0
319	объиму	0.24580170684705235	1.0
320	дивящимся	0.24580170684705235	1.0
321	святительстей	0.4916034136941047	2.0
322	посеявших	0.24580170684705235	1.0
323	браннолюбца	0.24580170684705235	1.0
324	ареста	0.24580170684705235	1.0
325	одевяяйся	0.24580170684705235	1.0
326	богоподобию	0.24580170684705235	1.0
327	языкословие	0.24580170684705235	1.0
328	краюверных	0.4916034136941047	2.0
329	кемень	0.24580170684705235	1.0
330	изнесеся	0.737405120541157	3.0
331	несрамлен	0.24580170684705235	1.0
332	послуха	0.24580170684705235	1.0
333	владевый	0.24580170684705235	1.0
334	столетния	0.4916034136941047	2.0
335	хитоном	0.24580170684705235	1.0
336	иночествующаго	0.24580170684705235	1.0
337	впакои	0.4916034136941047	2.0
338	борим	0.737405120541157	3.0
339	возлагающим	0.24580170684705235	1.0
340	прошедшим	0.737405120541157	3.0
341	пор	0.24580170684705235	1.0
342	присноеже	0.24580170684705235	1.0
343	окаляхомся	0.24580170684705235	1.0
344	щадила	0.24580170684705235	1.0
345	возставило	0.24580170684705235	1.0
346	бояшяся	0.24580170684705235	1.0
347	благовонствующе	0.24580170684705235	1.0
348	возжегошася	0.24580170684705235	1.0
349	илй	0.4916034136941047	2.0
350	кукшу	0.24580170684705235	1.0
351	плодоносите	0.24580170684705235	1.0
352	имуших	0.24580170684705235	1.0
353	счислялся	0.24580170684705235	1.0
354	деявшу	0.24580170684705235	1.0
355	бежитъ	0.24580170684705235	1.0
356	уловленна	0.24580170684705235	1.0
357	назидательна	0.24580170684705235	1.0
358	прозорливости	0.4916034136941047	2.0
359	соглаголющия	0.24580170684705235	1.0
360	твоесудитися	0.24580170684705235	1.0
361	непознася	0.24580170684705235	1.0
362	разеекаема	0.24580170684705235	1.0
363	просвещаешь	0.4916034136941047	2.0
364	являющим	0.9832068273882094	4.0
365	сопротивляющияся	0.4916034136941047	2.0
366	превозвышая	0.24580170684705235	1.0
367	будущи	0.24580170684705235	1.0
368	явились	0.24580170684705235	1.0
369	целовавши	0.4916034136941047	2.0
370	стоявшего	0.24580170684705235	1.0
371	богомерзкий	0.24580170684705235	1.0
372	духо	0.24580170684705235	1.0
373	молисяпразднующих	0.24580170684705235	1.0
374	катавасиячуда	0.24580170684705235	1.0
375	началось	0.24580170684705235	1.0
376	совоспоим	0.4916034136941047	2.0
377	низведенных	0.24580170684705235	1.0
378	свирепейшия	0.24580170684705235	1.0
379	розни	0.24580170684705235	1.0
380	рассуждения	0.737405120541157	3.0
381	распинаем	1.474810241082314	6.0
382	свидениемъ	0.24580170684705235	1.0
383	болгарским	0.4916034136941047	2.0
384	лихоимении	0.24580170684705235	1.0
385	руководству	0.24580170684705235	1.0
386	кефаларския	0.24580170684705235	1.0
387	неленостью	0.24580170684705235	1.0
388	преосененная	0.24580170684705235	1.0
389	устроимся	0.24580170684705235	1.0
390	связали	0.24580170684705235	1.0
391	обличать	0.24580170684705235	1.0
392	смятенны	0.24580170684705235	1.0
393	аврелиана	0.4916034136941047	2.0
394	возможных	0.24580170684705235	1.0
395	отях	2.7038187753175755	11.0
396	отженяющее	0.24580170684705235	1.0
397	неделанною	0.4916034136941047	2.0
398	преосиянная	0.24580170684705235	1.0
399	твердомудренный	0.737405120541157	3.0
400	приближался	0.4916034136941047	2.0
401	тайнописатель	0.24580170684705235	1.0
402	неотлучным	0.24580170684705235	1.0
403	равночестному	0.24580170684705235	1.0
404	присоединистеся	0.24580170684705235	1.0
405	утехами	0.24580170684705235	1.0
406	услышаши	0.24580170684705235	1.0
407	укепеет	0.24580170684705235	1.0
408	орошен	0.24580170684705235	1.0
409	изменшемся	0.24580170684705235	1.0
410	мняща	0.24580170684705235	1.0
411	осияюще	0.4916034136941047	2.0
412	пилежно	0.24580170684705235	1.0
413	претвориши	0.24580170684705235	1.0
414	преумножитися	0.24580170684705235	1.0
415	духоносна	0.737405120541157	3.0
416	секрат	0.24580170684705235	1.0
417	привлачающим	0.24580170684705235	1.0
418	слышши	0.24580170684705235	1.0
419	скобри	0.24580170684705235	1.0
420	боневесто	0.24580170684705235	1.0
421	восстании	0.24580170684705235	1.0
422	вдавал	0.24580170684705235	1.0
423	сопряглася	0.24580170684705235	1.0
424	радостотворная	0.24580170684705235	1.0
425	премногому	0.737405120541157	3.0
426	фаранской	0.24580170684705235	1.0
427	преудобренна	0.24580170684705235	1.0
428	вызвавшие	0.24580170684705235	1.0
429	огласил	0.24580170684705235	1.0
430	кольям	0.24580170684705235	1.0
431	святоотеческих	0.24580170684705235	1.0
432	плаваше	0.737405120541157	3.0
433	ерй	0.24580170684705235	1.0
434	лжесвидетелие	0.24580170684705235	1.0
435	псковопечерскую	0.24580170684705235	1.0
436	хананея	0.24580170684705235	1.0
437	молита	0.4916034136941047	2.0
438	исаиею	0.24580170684705235	1.0
439	бесценнаго	0.24580170684705235	1.0
440	возлтевшей	0.24580170684705235	1.0
441	стареишину	0.4916034136941047	2.0
442	яление	0.24580170684705235	1.0
443	судныи	0.24580170684705235	1.0
444	иегодоваху	0.24580170684705235	1.0
445	приторгл	0.24580170684705235	1.0
446	верующие	0.24580170684705235	1.0
447	возвестисте	0.24580170684705235	1.0
448	лукавнейшия	0.24580170684705235	1.0
449	терпеливы	0.24580170684705235	1.0
450	возпевающе	0.24580170684705235	1.0
451	оклеветани	0.24580170684705235	1.0
452	угобзая	0.24580170684705235	1.0
453	ляхове	0.4916034136941047	2.0
454	еввулы	0.24580170684705235	1.0
455	полагаетсяцарская	0.24580170684705235	1.0
456	чистого	0.24580170684705235	1.0
457	сенахеримскую	0.24580170684705235	1.0
458	достославнаго	1.2290085342352617	5.0
459	трапезунду	0.24580170684705235	1.0
460	просвещенни	0.24580170684705235	1.0
461	сиротствующим	0.4916034136941047	2.0
462	сораспявшияся	0.4916034136941047	2.0
463	богородицеживый	0.737405120541157	3.0
464	боримый	0.24580170684705235	1.0
465	селителя	0.24580170684705235	1.0
466	филофеи	0.24580170684705235	1.0
467	всекрасну	0.24580170684705235	1.0
468	неугасший	0.24580170684705235	1.0
469	безценныи	0.24580170684705235	1.0
470	орде	0.24580170684705235	1.0
471	илия	50.38934990364594	205.00000000000085
472	отрясе	0.24580170684705235	1.0
473	порознь	0.4916034136941047	2.0
474	стекутъ	0.24580170684705235	1.0
475	сокрушал	0.24580170684705235	1.0
476	восприимшую	0.24580170684705235	1.0
477	вооружистеся	0.737405120541157	3.0
478	преобразующегося	0.24580170684705235	1.0
479	судищему	0.24580170684705235	1.0
480	сркровище	0.24580170684705235	1.0
481	священноинок	0.24580170684705235	1.0
482	вкоренившееся	0.24580170684705235	1.0
483	чествовавшия	0.24580170684705235	1.0
484	обезславивый	0.24580170684705235	1.0
485	играша	0.24580170684705235	1.0
486	оставльшаяся	0.24580170684705235	1.0
487	отверзшимся	0.24580170684705235	1.0
488	дечанския	0.4916034136941047	2.0
489	непоколебимой	0.24580170684705235	1.0
490	клопский	0.24580170684705235	1.0
491	немногих	0.24580170684705235	1.0
492	подимут	0.4916034136941047	2.0
493	приемниче	0.24580170684705235	1.0
494	златострунная	0.24580170684705235	1.0
495	маркеллом	0.24580170684705235	1.0
496	приморием	0.24580170684705235	1.0
497	кралю	0.737405120541157	3.0
498	теците	0.24580170684705235	1.0
499	управленным	0.24580170684705235	1.0
500	этих	0.24580170684705235	1.0
501	коришскаго	0.737405120541157	3.0
502	постоми	0.24580170684705235	1.0
503	подавающей	0.24580170684705235	1.0
504	покровителем	0.9832068273882094	4.0
505	безсребренницем	0.24580170684705235	1.0
506	богодухновен	0.4916034136941047	2.0
507	покровительствуемый	0.4916034136941047	2.0
508	отроцыблагословите	0.24580170684705235	1.0
509	емлюще	0.24580170684705235	1.0
510	спребывания	0.24580170684705235	1.0
511	захарино	0.24580170684705235	1.0
512	расслабленная	0.24580170684705235	1.0
513	ближней	0.24580170684705235	1.0
514	сквернем	0.24580170684705235	1.0
515	пятиязычныя	0.24580170684705235	1.0
516	недалеко	0.4916034136941047	2.0
517	неприем	0.24580170684705235	1.0
518	благочистив	0.24580170684705235	1.0
519	вручати	0.24580170684705235	1.0
520	сподвизатися	0.24580170684705235	1.0
521	препрдобная	0.24580170684705235	1.0
522	оскудевающия	0.24580170684705235	1.0
523	самоотвержением	0.24580170684705235	1.0
524	приставленное	0.24580170684705235	1.0
525	настроивше	0.24580170684705235	1.0
526	кротчайшия	0.24580170684705235	1.0
527	ангеломчеловечь	0.24580170684705235	1.0
528	непщующим	0.24580170684705235	1.0
529	исидором	1.9664136547764188	8.0
530	егеже	0.24580170684705235	1.0
531	пещерная	0.24580170684705235	1.0
532	иносильных	0.24580170684705235	1.0
533	направляющего	0.24580170684705235	1.0
534	подавали	0.24580170684705235	1.0
535	егдаже	0.4916034136941047	2.0
536	черпалом	0.737405120541157	3.0
537	вологде	0.737405120541157	3.0
538	подвйжниче	0.24580170684705235	1.0
539	возложившим	0.737405120541157	3.0
540	халдейскаго	0.24580170684705235	1.0
541	песнохвалении	0.24580170684705235	1.0
542	барятинскаго	0.24580170684705235	1.0
543	обстоящая	0.737405120541157	3.0
544	многоцветущая	0.24580170684705235	1.0
545	тиранство	0.24580170684705235	1.0
546	комждо	0.24580170684705235	1.0
547	присну	0.24580170684705235	1.0
548	синеезерскаго	0.4916034136941047	2.0
549	единорасленное	0.24580170684705235	1.0
550	изъимаете	0.24580170684705235	1.0
551	нс	0.24580170684705235	1.0
552	позавиде	0.24580170684705235	1.0
553	сухоядением	0.9832068273882094	4.0
554	рождшуюсущую	0.24580170684705235	1.0
555	дубенстем	0.9832068273882094	4.0
556	прекроткое	0.24580170684705235	1.0
557	васильевича	0.24580170684705235	1.0
558	тимению	0.24580170684705235	1.0
559	благоутодисте	0.24580170684705235	1.0
560	финафсилом	0.24580170684705235	1.0
561	прхвалами	0.24580170684705235	1.0
562	душеспасительным	0.24580170684705235	1.0
563	божественыым	0.24580170684705235	1.0
564	веселяшися	0.24580170684705235	1.0
565	ниспущая	0.24580170684705235	1.0
566	чудотворениями	0.737405120541157	3.0
567	преуспевал	0.24580170684705235	1.0
568	изчислит	0.24580170684705235	1.0
569	распрелюбивых	0.4916034136941047	2.0
570	гермогену	0.24580170684705235	1.0
571	фессалоник	0.24580170684705235	1.0
572	разорших	0.24580170684705235	1.0
573	протиповещая	0.24580170684705235	1.0
574	первие	0.9832068273882094	4.0
575	хриетоименитыя	0.24580170684705235	1.0
576	достигнута	0.4916034136941047	2.0
577	доната	2.9496204821646277	11.999999999999998
578	песнословимый	0.4916034136941047	2.0
579	всерадостнаго	0.4916034136941047	2.0
580	молитвеницы	0.24580170684705235	1.0
581	добльственник	0.4916034136941047	2.0
582	субботствование	0.24580170684705235	1.0
583	токмоеже	1.474810241082314	6.0
584	упражняюща	0.24580170684705235	1.0
585	хвалорадостнословие	0.24580170684705235	1.0
586	дародателю	0.24580170684705235	1.0
587	россистей	0.737405120541157	3.0
588	встати	0.24580170684705235	1.0
589	угождающия	0.9832068273882094	4.0
590	егейскаго	0.24580170684705235	1.0
591	воздана	0.24580170684705235	1.0
592	совращающе	0.24580170684705235	1.0
593	богородиченгавриилу	0.24580170684705235	1.0
594	молитвеницу	0.4916034136941047	2.0
595	богоубийце	0.24580170684705235	1.0
596	внемши	0.24580170684705235	1.0
597	божих	0.24580170684705235	1.0
598	исчезающия	0.24580170684705235	1.0
599	узкаго	0.24580170684705235	1.0
600	лютостное	0.24580170684705235	1.0
601	многомятежно	0.24580170684705235	1.0
602	грехопадениих	0.4916034136941047	2.0
603	бурямя	0.24580170684705235	1.0
604	философскаго	0.24580170684705235	1.0
605	преумножившии	0.24580170684705235	1.0
606	брянская	0.24580170684705235	1.0
607	соврашася	0.24580170684705235	1.0
608	помрачившии	0.24580170684705235	1.0
609	присвоивыйся	0.24580170684705235	1.0
610	любодейная	0.24580170684705235	1.0
611	господицерковь	0.24580170684705235	1.0
612	злаки	0.24580170684705235	1.0
613	канонархам	0.737405120541157	3.0
614	огсеченней	0.24580170684705235	1.0
615	рицу	0.24580170684705235	1.0
616	ириана	0.24580170684705235	1.0
617	обимаху	0.24580170684705235	1.0
618	величающия	19.172533134070093	78.00000000000004
619	рачительный	0.4916034136941047	2.0
620	жировицкой	2.7038187753175755	11.0
621	раскрышаея	0.24580170684705235	1.0
622	подражательно	0.24580170684705235	1.0
623	бесчисленных	0.24580170684705235	1.0
624	целебнаго	0.737405120541157	3.0
625	невместим	0.4916034136941047	2.0
626	ведыи	0.4916034136941047	2.0
627	пещьразсмотряем	0.4916034136941047	2.0
628	приемшн	0.24580170684705235	1.0
629	крещашуся	0.24580170684705235	1.0
630	епенетом	0.24580170684705235	1.0
631	славяше	0.4916034136941047	2.0
632	устраняюще	0.24580170684705235	1.0
633	изято	0.24580170684705235	1.0
634	летописи	0.24580170684705235	1.0
635	молишеся	0.24580170684705235	1.0
636	трудомъ	0.4916034136941047	2.0
637	благоукрашая	0.24580170684705235	1.0
638	златой	0.24580170684705235	1.0
639	вооружался	0.4916034136941047	2.0
640	возврата	0.24580170684705235	1.0
641	неуязвимый	0.24580170684705235	1.0
642	наглавник	0.24580170684705235	1.0
643	схимонашеский	0.24580170684705235	1.0
644	стиховые	0.24580170684705235	1.0
645	терпеливомудраго	0.24580170684705235	1.0
646	цветяше	0.24580170684705235	1.0
647	увещании	0.24580170684705235	1.0
648	избиений	0.24580170684705235	1.0
649	теелу	0.24580170684705235	1.0
650	изцеляху	0.24580170684705235	1.0
651	отвещании	0.4916034136941047	2.0
652	безмлвии	0.24580170684705235	1.0
653	утверждаемом	0.24580170684705235	1.0
654	еврафов	0.24580170684705235	1.0
655	азбуке	0.24580170684705235	1.0
656	мироточащаго	0.24580170684705235	1.0
657	корсуни	0.4916034136941047	2.0
658	трок	0.24580170684705235	1.0
659	кладущии	0.24580170684705235	1.0
660	агнцаи	0.24580170684705235	1.0
661	преждееже	0.24580170684705235	1.0
662	восстановленный	0.24580170684705235	1.0
663	артемием	0.24580170684705235	1.0
664	терновстем	0.24580170684705235	1.0
665	отгонительнице	0.24580170684705235	1.0
666	мирянех	0.24580170684705235	1.0
667	смраду	0.24580170684705235	1.0
668	вручила	0.24580170684705235	1.0
669	новогрудский	0.24580170684705235	1.0
670	засвязаннаго	0.24580170684705235	1.0
671	продлив	0.24580170684705235	1.0
672	источили	0.24580170684705235	1.0
673	нестерпим	1.474810241082314	6.0
674	блговолением	0.24580170684705235	1.0
675	обиталищ	0.24580170684705235	1.0
676	студную	0.9832068273882094	4.0
677	страннолюбивому	0.24580170684705235	1.0
678	христороссийстии	0.24580170684705235	1.0
679	имаила	0.24580170684705235	1.0
680	поздний	0.4916034136941047	2.0
681	сказовал	0.24580170684705235	1.0
682	ремеслу	0.24580170684705235	1.0
683	питай	0.24580170684705235	1.0
